UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Inspection Summary,Recommended Action,Action Category
44,H29457,H,298.8,309.2,1372,48.5,31.18387097,29.53,No Failure,Engine ID 44 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
45,M14904,M,298.8,309.1,1472,47.5,30.90241935,29.83,No Failure,Engine ID 45 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
46,L47225,L,298.8,309.1,1489,49.1,30.62096774,30.13,No Failure,"Engine 46 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
47,M14906,M,298.7,309.0,1843,25.8,30.33951613,30.42,No Failure,Engine 47 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue routine monitoring and maintenance as scheduled.,Monitor
48,L47227,L,298.8,309.1,1418,46.3,30.05806452,30.72,No Failure,Engine 48 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
49,H29462,H,298.8,309.2,1425,53.9,29.7766129,31.02,No Failure,Engine 49 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue to monitor performance and schedule routine maintenance.,Monitor
50,M14909,M,298.9,309.2,1412,44.1,29.49516129,31.32,No Failure,Engine ID 50 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
51,L47230,L,298.9,309.1,2861,4.6,29.21370968,48.0,Power Failure,Engine ID 51 shows signs of power failure with elevated vibration levels and operational parameters nearing limits. Immediate attention required.,Conduct a thorough inspection of the engine components and address the power failure issue.,Flag for Inspection
52,L47231,L,298.9,309.1,1383,54.9,28.93225806,24.0,No Failure,Engine ID 52 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
53,H29466,H,298.8,309.0,1497,43.8,28.65080645,20.0,No Failure,Engine ID 53 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
54,L47233,L,298.7,309.0,1565,35.1,28.36935484,22.0,No Failure,Engine ID 54 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
55,L47234,L,298.7,309.0,1691,30.1,28.08790323,14.0,No Failure,Engine ID 55 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
56,L47235,L,298.8,309.1,1512,40.7,27.80645161,15.0,No Failure,Engine ID 56 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
57,L47236,L,298.8,309.1,1477,42.4,27.525,58.0,No Failure,Engine ID 57 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
58,L47237,L,298.8,309.1,1513,40.3,27.24354839,22.0,No Failure,Engine ID 58 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
59,M14918,M,298.8,309.0,1661,29.5,26.96209677,36.0,No Failure,Engine ID 59 is operating within normal parameters with no failures detected. Vibration levels are elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
60,L47239,L,298.8,309.1,1378,54.4,26.68064516,14.0,No Failure,Engine ID 60 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
61,L47240,L,298.8,309.1,1393,52.6,26.39919355,21.0,No Failure,Engine ID 61 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
62,M14921,M,298.8,309.0,1592,38.2,26.11774194,26.87,No Failure,Engine ID 62 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
63,L47242,L,298.8,309.0,1829,22.9,25.83629032,27.28,No Failure,Engine ID 63 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
64,M14923,M,298.9,309.0,1812,25.9,25.55483871,27.69,No Failure,Engine ID 64 is operating within normal parameters with no failure detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
65,L47244,L,299.0,309.1,1523,38.6,25.2733871,28.1,No Failure,Engine ID 65 is operating within normal parameters with no failures reported. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
66,L47245,L,299.0,309.1,1394,45.1,24.99193548,28.52,No Failure,Engine ID 66 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in the next operational cycle.,Monitor
67,M14926,M,298.9,308.9,1679,28.7,24.71048387,28.93,No Failure,Engine ID 67 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
68,H29481,H,298.8,308.9,1466,44.1,24.42903226,29.34,No Failure,Engine ID 68 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
69,L47248,L,298.8,308.9,1527,32.4,24.14758065,29.75,No Failure,Engine ID 69 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
70,L47249,L,298.9,309.0,1410,65.7,42.0,47.0,Power Failure,"Engine ID 70 is experiencing a power failure with elevated vibration levels at 42.0. Operational hours are within acceptable limits, but the process temperature is slightly high at 309.0 K.",Investigate the source of the power failure and check for potential issues causing the high vibration and temperature.,Flag for Inspection
71,M14930,M,298.9,309.0,1924,22.6,52.0,30.58,No Failure,Engine ID 71 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
72,L47251,L,298.9,309.1,1452,45.5,44.0,30.99,No Failure,Engine ID 72 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
73,L47252,L,298.9,309.1,1369,44.4,52.0,31.4,No Failure,Engine ID 73 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
74,L47253,L,299.0,309.1,1592,35.0,44.0,55.0,Tool Wear Failure,Engine ID 74 shows signs of tool wear failure with elevated vibration levels and operational parameters within normal range. Immediate attention required to prevent further damage.,Schedule a maintenance check to assess and replace worn tools.,Flag for Inspection
75,L47254,L,298.9,309.0,1601,32.3,35.0,57.0,Tool Wear Failure,Engine ID 75 shows signs of tool wear failure with elevated vibration levels and operational parameters within normal limits. Monitoring is advised.,Schedule immediate inspection and replace worn tools to prevent further issues.,Flag for Inspection
76,L47255,L,298.8,308.9,1379,46.7,36.0,84.0,Tool Wear Failure,Engine 76 shows signs of tool wear failure with elevated vibration levels and operational hours at 84.0. Monitoring is recommended.,Schedule maintenance to inspect and replace worn tools.,Flag for Inspection
77,L47256,L,298.8,308.9,1461,47.9,33.0,47.0,Tool Wear Failure,Engine ID 77 shows signs of tool wear failure with operational parameters within acceptable ranges but requires attention due to potential performance degradation.,Schedule a maintenance check to assess and replace worn tools.,Flag for Inspection
78,L47257,L,298.8,308.9,1455,41.3,23.0,56.0,Tool Wear Failure,Engine ID 78 shows signs of tool wear failure with elevated vibration levels and operational hours at 56.0. Immediate attention is required to prevent further damage.,Inspect and replace worn tools; monitor vibration levels closely.,Monitor
79,L47258,L,298.8,308.9,1398,51.5,45.0,96.0,Tool Wear Failure,Engine ID 79 shows signs of tool wear failure with elevated vibration levels at 45.0. Operational parameters are within acceptable ranges but require monitoring.,"Schedule maintenance to inspect and replace worn tools, and monitor vibration levels closely.",Monitor
80,L47259,L,298.8,308.9,1402,37.9,55.0,55.0,Tool Wear Failure,Engine ID 80 shows signs of tool wear failure with elevated vibration levels at 55.0. Operational parameters are within range but should be monitored closely.,Schedule immediate inspection and maintenance to address tool wear and reduce vibration levels.,Flag for Inspection
81,H29494,H,298.8,308.8,1445,49.9,45.0,24.0,No Failure,Engine ID 81 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance as scheduled.,Monitor
82,L47261,L,298.9,308.9,1450,47.5,34.0,22.0,No Failure,Engine ID 82 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
83,L47262,L,298.9,308.9,1453,40.8,34.0,15.0,No Failure,Engine ID 83 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
84,L47263,L,299.0,309.0,1469,40.1,23.0,15.0,No Failure,"Engine ID 84 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
85,L47264,L,298.9,308.9,1422,47.6,42.0,11.0,No Failure,Engine ID 85 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection.,Monitor
86,M14945,M,299.0,309.0,1804,26.8,54.0,10.0,No Failure,Engine ID 86 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
87,H29500,H,299.0,309.0,1436,43.9,55.0,14.0,No Failure,Engine ID 87 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
88,L47267,L,299.0,309.0,1544,31.8,54.0,25.0,No Failure,Engine ID 88 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance as scheduled.,Monitor
89,M14948,M,299.0,309.0,1419,45.2,34.0,22.0,No Failure,"Engine ID 89 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
90,M14949,M,298.9,308.9,1487,39.5,33.0,27.0,No Failure,Engine ID 90 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue routine monitoring and maintenance as scheduled.,Monitor
91,L47270,L,298.9,308.9,1753,25.8,23.0,19.0,No Failure,Engine ID 91 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue monitoring performance and schedule routine maintenance.,Monitor
92,L47271,L,298.9,308.9,1830,24.9,24.0,20.67,No Failure,Engine ID 92 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
93,M14952,M,298.9,308.9,1727,27.1,36.0,21.03,No Failure,Engine ID 93 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
94,L47273,L,299.1,309.0,1450,43.0,34.0,21.38,No Failure,Engine ID 94 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
95,L47274,L,299.0,308.9,1622,31.9,35.0,21.74,No Failure,Engine ID 95 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
96,M14955,M,299.0,309.0,1351,52.2,36.0,22.09,No Failure,"Engine ID 96 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
97,M14956,M,299.0,309.0,1575,35.3,37.0,22.45,No Failure,Engine ID 97 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
98,M14957,M,298.9,308.9,1750,29.9,38.0,22.8,No Failure,Engine ID 98 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
99,L47278,L,298.9,308.8,1529,32.7,39.0,23.15,No Failure,Engine ID 99 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
100,L47279,L,298.8,308.8,1523,44.4,40.0,23.51,No Failure,Engine ID 100 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
101,L47280,L,298.8,308.9,1852,25.0,42.0,23.86,No Failure,Engine ID 101 is operating within normal parameters with no failures detected. Vibration and temperature levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
102,L47281,L,298.8,308.8,1991,20.7,52.0,24.22,No Failure,Engine ID 102 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and conduct a detailed inspection during the next scheduled maintenance.,Monitor
103,L47282,L,298.8,308.8,1555,40.6,44.0,24.57,No Failure,Engine ID 103 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
104,M14963,M,298.8,308.8,1441,40.5,52.0,24.93,No Failure,Engine ID 104 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
105,L47284,L,298.8,308.7,1450,43.4,44.0,25.28,No Failure,Engine 105 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
106,L47285,L,298.8,308.7,1591,31.1,35.0,25.64,No Failure,Engine ID 106 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
107,L47286,L,298.8,308.7,1445,48.5,36.0,25.99,No Failure,Engine ID 107 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
108,M14967,M,298.8,308.8,1497,46.8,33.0,26.35,No Failure,"Engine ID 108 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next inspection.,Monitor
109,H29522,H,298.9,308.8,1621,32.7,23.0,26.7,No Failure,Engine ID 109 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
110,L47289,L,298.9,308.7,1572,34.1,45.0,27.05,No Failure,"Engine ID 110 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
111,L47290,L,298.8,308.6,1872,22.5,55.0,27.41,No Failure,Engine ID 111 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
112,H29525,H,298.7,308.6,1499,43.5,45.0,27.76,No Failure,Engine ID 112 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
113,M14972,M,298.8,308.7,1498,39.5,34.0,28.12,No Failure,Engine 113 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
114,M14973,M,298.8,308.6,1486,41.9,34.0,28.47,No Failure,Engine ID 114 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
115,L47294,L,298.8,308.6,1680,29.4,23.0,28.83,No Failure,"Engine ID 115 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has low operational hours.",Continue regular monitoring and schedule the next inspection in accordance with maintenance guidelines.,Monitor
116,L47295,L,298.8,308.6,1431,45.7,42.0,29.18,No Failure,Engine 116 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
117,L47296,L,298.9,308.7,1564,34.1,54.0,29.54,No Failure,Engine 117 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
118,L47297,L,298.8,308.6,1599,33.0,55.0,29.89,No Failure,Engine ID 118 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in the next operational cycle.,Monitor
119,M14978,M,298.8,308.6,1707,28.1,54.0,30.25,No Failure,Engine ID 119 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
120,L47299,L,298.7,308.5,1467,40.7,34.0,30.6,No Failure,Engine ID 120 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
121,L47300,L,298.9,308.7,1433,44.7,33.0,30.95,No Failure,Engine ID 121 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
122,L47301,L,298.9,308.7,1558,41.2,23.0,31.31,No Failure,Engine 122 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
123,L47302,L,299.0,308.8,1310,50.7,24.0,31.66,No Failure,"Engine ID 123 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
124,L47303,L,298.9,308.7,1546,43.4,36.0,32.02,No Failure,Engine ID 124 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
125,L47304,L,298.9,308.7,1727,29.4,34.0,32.37,No Failure,"Engine ID 125 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
126,L47305,L,298.9,308.6,1560,32.2,35.0,32.73,No Failure,Engine 126 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
