UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Comment
13,M14872,M,298.6,309.1,1339,51.1,34.0,20.33,No Failure,"Technician inspected Engine #13. RPM at 1339, torque at 51.1 Nm. Air temp 298.6K, Process temp 309.1K. Vibration level recorded at 34.0. Engine has run for 20.3 hours. No failure detected."
14,M14873,M,298.6,309.2,1742,30.0,34.0,20.62,No Failure,"Technician inspected Engine #14. RPM at 1742, torque at 30.0 Nm. Air temp 298.6K, Process temp 309.2K. Vibration level recorded at 34.0. Engine has run for 20.6 hours. No failure detected."
15,L47194,L,298.6,309.2,2035,19.6,23.0,20.92,No Failure,"Technician inspected Engine #15. RPM at 2035, torque at 19.6 Nm. Air temp 298.6K, Process temp 309.2K. Vibration level recorded at 23.0. Engine has run for 20.9 hours. No failure detected."
16,L47195,L,298.6,309.2,1542,48.4,42.0,21.22,No Failure,"Technician inspected Engine #16. RPM at 1542, torque at 48.4 Nm. Air temp 298.6K, Process temp 309.2K. Vibration level recorded at 42.0. Engine has run for 21.2 hours. No failure detected."
17,M14876,M,298.6,309.2,1311,46.6,54.0,21.52,No Failure,"Technician inspected Engine #17. RPM at 1311, torque at 46.6 Nm. Air temp 298.6K, Process temp 309.2K. Vibration level recorded at 54.0. Engine has run for 21.5 hours. No failure detected."
18,M14877,M,298.7,309.2,1410,45.6,55.0,21.81,No Failure,"Technician inspected Engine #18. RPM at 1410, torque at 45.6 Nm. Air temp 298.7K, Process temp 309.2K. Vibration level recorded at 55.0. Engine has run for 21.8 hours. No failure detected."
19,H29432,H,298.8,309.2,1306,54.5,54.0,22.11,No Failure,"Technician inspected Engine #19. RPM at 1306, torque at 54.5 Nm. Air temp 298.8K, Process temp 309.2K. Vibration level recorded at 54.0. Engine has run for 22.1 hours. No failure detected."
20,M14879,M,298.9,309.3,1632,32.5,34.0,22.41,No Failure,"Technician inspected Engine #20. RPM at 1632, torque at 32.5 Nm. Air temp 298.9K, Process temp 309.3K. Vibration level recorded at 34.0. Engine has run for 22.4 hours. No failure detected."
21,H29434,H,298.9,309.3,1375,42.7,33.0,22.7,No Failure,"Technician inspected Engine #21. RPM at 1375, torque at 42.7 Nm. Air temp 298.9K, Process temp 309.3K. Vibration level recorded at 33.0. Engine has run for 22.7 hours. No failure detected."
22,L47201,L,298.8,309.3,1450,44.8,23.0,23.0,No Failure,"Technician inspected Engine #22. RPM at 1450, torque at 44.8 Nm. Air temp 298.8K, Process temp 309.3K. Vibration level recorded at 23.0. Engine has run for 23.0 hours. No failure detected."
23,M14882,M,298.9,309.3,1581,30.7,24.0,23.3,No Failure,"Technician inspected Engine #23. RPM at 1581, torque at 30.7 Nm. Air temp 298.9K, Process temp 309.3K. Vibration level recorded at 24.0. Engine has run for 23.3 hours. No failure detected."
24,L47203,L,299.0,309.4,1758,25.7,36.0,23.59,No Failure,"Technician inspected Engine #24. RPM at 1758, torque at 25.7 Nm. Air temp 299.0K, Process temp 309.4K. Vibration level recorded at 36.0. Engine has run for 23.6 hours. No failure detected."
25,M14884,M,299.0,309.4,1561,37.3,34.0,23.89,No Failure,"Technician inspected Engine #25. RPM at 1561, torque at 37.3 Nm. Air temp 299.0K, Process temp 309.4K. Vibration level recorded at 34.0. Engine has run for 23.9 hours. No failure detected."
26,L47205,L,299.0,309.5,1861,23.3,35.0,24.19,No Failure,"Technician inspected Engine #26. RPM at 1861, torque at 23.3 Nm. Air temp 299.0K, Process temp 309.5K. Vibration level recorded at 35.0. Engine has run for 24.2 hours. No failure detected."
27,L47206,L,299.1,309.5,1512,39.0,36.0,24.48,No Failure,"Technician inspected Engine #27. RPM at 1512, torque at 39.0 Nm. Air temp 299.1K, Process temp 309.5K. Vibration level recorded at 36.0. Engine has run for 24.5 hours. No failure detected."
28,H29441,H,299.1,309.4,1811,24.6,37.0,24.78,No Failure,"Technician inspected Engine #28. RPM at 1811, torque at 24.6 Nm. Air temp 299.1K, Process temp 309.4K. Vibration level recorded at 37.0. Engine has run for 24.8 hours. No failure detected."
29,L47208,L,299.1,309.4,1439,44.2,38.0,25.08,No Failure,"Technician inspected Engine #29. RPM at 1439, torque at 44.2 Nm. Air temp 299.1K, Process temp 309.4K. Vibration level recorded at 38.0. Engine has run for 25.1 hours. No failure detected."
30,L47209,L,299.0,309.4,1693,30.1,39.0,25.38,No Failure,"Technician inspected Engine #30. RPM at 1693, torque at 30.1 Nm. Air temp 299.0K, Process temp 309.4K. Vibration level recorded at 39.0. Engine has run for 25.4 hours. No failure detected."
31,M14890,M,299.1,309.5,1339,48.2,40.0,25.67,No Failure,"Technician inspected Engine #31. RPM at 1339, torque at 48.2 Nm. Air temp 299.1K, Process temp 309.5K. Vibration level recorded at 40.0. Engine has run for 25.7 hours. No failure detected."
32,L47211,L,299.0,309.4,1798,25.5,34.56129032,25.97,No Failure,"Technician inspected Engine #32. RPM at 1798, torque at 25.5 Nm. Air temp 299.0K, Process temp 309.4K. Vibration level recorded at 34.6. Engine has run for 26.0 hours. No failure detected."
33,L47212,L,299.0,309.4,1419,48.3,34.27983871,26.27,No Failure,"Technician inspected Engine #33. RPM at 1419, torque at 48.3 Nm. Air temp 299.0K, Process temp 309.4K. Vibration level recorded at 34.3. Engine has run for 26.3 hours. No failure detected."
34,L47213,L,298.9,309.3,1665,32.5,33.9983871,26.56,No Failure,"Technician inspected Engine #34. RPM at 1665, torque at 32.5 Nm. Air temp 298.9K, Process temp 309.3K. Vibration level recorded at 34.0. Engine has run for 26.6 hours. No failure detected."
35,M14894,M,298.8,309.1,1559,34.7,33.71693548,26.86,No Failure,"Technician inspected Engine #35. RPM at 1559, torque at 34.7 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 33.7. Engine has run for 26.9 hours. No failure detected."
36,M14895,M,298.8,309.2,1452,48.6,33.43548387,27.16,No Failure,"Technician inspected Engine #36. RPM at 1452, torque at 48.6 Nm. Air temp 298.8K, Process temp 309.2K. Vibration level recorded at 33.4. Engine has run for 27.2 hours. No failure detected."
37,M14896,M,298.9,309.2,1581,36.7,33.15403226,27.45,No Failure,"Technician inspected Engine #37. RPM at 1581, torque at 36.7 Nm. Air temp 298.9K, Process temp 309.2K. Vibration level recorded at 33.2. Engine has run for 27.4 hours. No failure detected."
38,L47217,L,298.8,309.1,1439,39.2,32.87258065,27.75,No Failure,"Technician inspected Engine #38. RPM at 1439, torque at 39.2 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 32.9. Engine has run for 27.8 hours. No failure detected."
39,H29452,H,298.9,309.2,1379,50.7,32.59112903,28.05,No Failure,"Technician inspected Engine #39. RPM at 1379, torque at 50.7 Nm. Air temp 298.9K, Process temp 309.2K. Vibration level recorded at 32.6. Engine has run for 28.1 hours. No failure detected."
40,L47219,L,298.8,309.1,1350,52.5,32.30967742,28.35,No Failure,"Technician inspected Engine #40. RPM at 1350, torque at 52.5 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 32.3. Engine has run for 28.4 hours. No failure detected."
41,L47220,L,298.8,309.1,1362,45.4,32.02822581,28.64,No Failure,"Technician inspected Engine #41. RPM at 1362, torque at 45.4 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 32.0. Engine has run for 28.6 hours. No failure detected."
42,L47221,L,298.8,309.1,1368,50.8,31.74677419,28.94,No Failure,"Technician inspected Engine #42. RPM at 1368, torque at 50.8 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 31.7. Engine has run for 28.9 hours. No failure detected."
43,M14902,M,298.8,309.1,1368,49.1,31.46532258,29.24,No Failure,"Technician inspected Engine #43. RPM at 1368, torque at 49.1 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 31.5. Engine has run for 29.2 hours. No failure detected."
44,H29457,H,298.8,309.2,1372,48.5,31.18387097,29.53,No Failure,"Technician inspected Engine #44. RPM at 1372, torque at 48.5 Nm. Air temp 298.8K, Process temp 309.2K. Vibration level recorded at 31.2. Engine has run for 29.5 hours. No failure detected."
45,M14904,M,298.8,309.1,1472,47.5,30.90241935,29.83,No Failure,"Technician inspected Engine #45. RPM at 1472, torque at 47.5 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 30.9. Engine has run for 29.8 hours. No failure detected."
46,L47225,L,298.8,309.1,1489,49.1,30.62096774,30.13,No Failure,"Technician inspected Engine #46. RPM at 1489, torque at 49.1 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 30.6. Engine has run for 30.1 hours. No failure detected."
47,M14906,M,298.7,309.0,1843,25.8,30.33951613,30.42,No Failure,"Technician inspected Engine #47. RPM at 1843, torque at 25.8 Nm. Air temp 298.7K, Process temp 309.0K. Vibration level recorded at 30.3. Engine has run for 30.4 hours. No failure detected."
48,L47227,L,298.8,309.1,1418,46.3,30.05806452,30.72,No Failure,"Technician inspected Engine #48. RPM at 1418, torque at 46.3 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 30.1. Engine has run for 30.7 hours. No failure detected."
49,H29462,H,298.8,309.2,1425,53.9,29.7766129,31.02,No Failure,"Technician inspected Engine #49. RPM at 1425, torque at 53.9 Nm. Air temp 298.8K, Process temp 309.2K. Vibration level recorded at 29.8. Engine has run for 31.0 hours. No failure detected."
50,M14909,M,298.9,309.2,1412,44.1,29.49516129,31.32,No Failure,"Technician inspected Engine #50. RPM at 1412, torque at 44.1 Nm. Air temp 298.9K, Process temp 309.2K. Vibration level recorded at 29.5. Engine has run for 31.3 hours. No failure detected."
51,L47230,L,298.9,309.1,2861,4.6,29.21370968,48.0,Power Failure,"Technician inspected Engine #51. RPM at 2861, torque at 4.6 Nm. Air temp 298.9K, Process temp 309.1K. Vibration level recorded at 29.2. Engine has run for 48.0 hours. Anomaly present. Further diagnostics required."
52,L47231,L,298.9,309.1,1383,54.9,28.93225806,24.0,No Failure,"Technician inspected Engine #52. RPM at 1383, torque at 54.9 Nm. Air temp 298.9K, Process temp 309.1K. Vibration level recorded at 28.9. Engine has run for 24.0 hours. No failure detected."
53,H29466,H,298.8,309.0,1497,43.8,28.65080645,20.0,No Failure,"Technician inspected Engine #53. RPM at 1497, torque at 43.8 Nm. Air temp 298.8K, Process temp 309.0K. Vibration level recorded at 28.7. Engine has run for 20.0 hours. No failure detected."
54,L47233,L,298.7,309.0,1565,35.1,28.36935484,22.0,No Failure,"Technician inspected Engine #54. RPM at 1565, torque at 35.1 Nm. Air temp 298.7K, Process temp 309.0K. Vibration level recorded at 28.4. Engine has run for 22.0 hours. No failure detected."
55,L47234,L,298.7,309.0,1691,30.1,28.08790323,14.0,No Failure,"Technician inspected Engine #55. RPM at 1691, torque at 30.1 Nm. Air temp 298.7K, Process temp 309.0K. Vibration level recorded at 28.1. Engine has run for 14.0 hours. No failure detected."
56,L47235,L,298.8,309.1,1512,40.7,27.80645161,15.0,No Failure,"Technician inspected Engine #56. RPM at 1512, torque at 40.7 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 27.8. Engine has run for 15.0 hours. No failure detected."
57,L47236,L,298.8,309.1,1477,42.4,27.525,58.0,No Failure,"Technician inspected Engine #57. RPM at 1477, torque at 42.4 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 27.5. Engine has run for 58.0 hours. No failure detected."
58,L47237,L,298.8,309.1,1513,40.3,27.24354839,22.0,No Failure,"Technician inspected Engine #58. RPM at 1513, torque at 40.3 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 27.2. Engine has run for 22.0 hours. No failure detected."
59,M14918,M,298.8,309.0,1661,29.5,26.96209677,36.0,No Failure,"Technician inspected Engine #59. RPM at 1661, torque at 29.5 Nm. Air temp 298.8K, Process temp 309.0K. Vibration level recorded at 27.0. Engine has run for 36.0 hours. No failure detected."
60,L47239,L,298.8,309.1,1378,54.4,26.68064516,14.0,No Failure,"Technician inspected Engine #60. RPM at 1378, torque at 54.4 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 26.7. Engine has run for 14.0 hours. No failure detected."
61,L47240,L,298.8,309.1,1393,52.6,26.39919355,21.0,No Failure,"Technician inspected Engine #61. RPM at 1393, torque at 52.6 Nm. Air temp 298.8K, Process temp 309.1K. Vibration level recorded at 26.4. Engine has run for 21.0 hours. No failure detected."
62,M14921,M,298.8,309.0,1592,38.2,26.11774194,26.87,No Failure,"Technician inspected Engine #62. RPM at 1592, torque at 38.2 Nm. Air temp 298.8K, Process temp 309.0K. Vibration level recorded at 26.1. Engine has run for 26.9 hours. No failure detected."
63,L47242,L,298.8,309.0,1829,22.9,25.83629032,27.28,No Failure,"Technician inspected Engine #63. RPM at 1829, torque at 22.9 Nm. Air temp 298.8K, Process temp 309.0K. Vibration level recorded at 25.8. Engine has run for 27.3 hours. No failure detected."
64,M14923,M,298.9,309.0,1812,25.9,25.55483871,27.69,No Failure,"Technician inspected Engine #64. RPM at 1812, torque at 25.9 Nm. Air temp 298.9K, Process temp 309.0K. Vibration level recorded at 25.6. Engine has run for 27.7 hours. No failure detected."
65,L47244,L,299.0,309.1,1523,38.6,25.2733871,28.1,No Failure,"Technician inspected Engine #65. RPM at 1523, torque at 38.6 Nm. Air temp 299.0K, Process temp 309.1K. Vibration level recorded at 25.3. Engine has run for 28.1 hours. No failure detected."
66,L47245,L,299.0,309.1,1394,45.1,24.99193548,28.52,No Failure,"Technician inspected Engine #66. RPM at 1394, torque at 45.1 Nm. Air temp 299.0K, Process temp 309.1K. Vibration level recorded at 25.0. Engine has run for 28.5 hours. No failure detected."
67,M14926,M,298.9,308.9,1679,28.7,24.71048387,28.93,No Failure,"Technician inspected Engine #67. RPM at 1679, torque at 28.7 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 24.7. Engine has run for 28.9 hours. No failure detected."
68,H29481,H,298.8,308.9,1466,44.1,24.42903226,29.34,No Failure,"Technician inspected Engine #68. RPM at 1466, torque at 44.1 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 24.4. Engine has run for 29.3 hours. No failure detected."
69,L47248,L,298.8,308.9,1527,32.4,24.14758065,29.75,No Failure,"Technician inspected Engine #69. RPM at 1527, torque at 32.4 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 24.1. Engine has run for 29.8 hours. No failure detected."
70,L47249,L,298.9,309.0,1410,65.7,42.0,47.0,Power Failure,"Technician inspected Engine #70. RPM at 1410, torque at 65.7 Nm. Air temp 298.9K, Process temp 309.0K. Vibration level recorded at 42.0. Engine has run for 47.0 hours. Anomaly present. Further diagnostics required."
71,M14930,M,298.9,309.0,1924,22.6,52.0,30.58,No Failure,"Technician inspected Engine #71. RPM at 1924, torque at 22.6 Nm. Air temp 298.9K, Process temp 309.0K. Vibration level recorded at 52.0. Engine has run for 30.6 hours. No failure detected."
72,L47251,L,298.9,309.1,1452,45.5,44.0,30.99,No Failure,"Technician inspected Engine #72. RPM at 1452, torque at 45.5 Nm. Air temp 298.9K, Process temp 309.1K. Vibration level recorded at 44.0. Engine has run for 31.0 hours. No failure detected."
73,L47252,L,298.9,309.1,1369,44.4,52.0,31.4,No Failure,"Technician inspected Engine #73. RPM at 1369, torque at 44.4 Nm. Air temp 298.9K, Process temp 309.1K. Vibration level recorded at 52.0. Engine has run for 31.4 hours. No failure detected."
74,L47253,L,299.0,309.1,1592,35.0,44.0,55.0,Tool Wear Failure,"Technician inspected Engine #74. RPM at 1592, torque at 35.0 Nm. Air temp 299.0K, Process temp 309.1K. Vibration level recorded at 44.0. Engine has run for 55.0 hours. Signs of tool wear observed. Recommend inspection."
75,L47254,L,298.9,309.0,1601,32.3,35.0,57.0,Tool Wear Failure,"Technician inspected Engine #75. RPM at 1601, torque at 32.3 Nm. Air temp 298.9K, Process temp 309.0K. Vibration level recorded at 35.0. Engine has run for 57.0 hours. Signs of tool wear observed. Recommend inspection."
76,L47255,L,298.8,308.9,1379,46.7,36.0,84.0,Tool Wear Failure,"Technician inspected Engine #76. RPM at 1379, torque at 46.7 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 36.0. Engine has run for 84.0 hours. Signs of tool wear observed. Recommend inspection."
77,L47256,L,298.8,308.9,1461,47.9,33.0,47.0,Tool Wear Failure,"Technician inspected Engine #77. RPM at 1461, torque at 47.9 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 33.0. Engine has run for 47.0 hours. Signs of tool wear observed. Recommend inspection."
78,L47257,L,298.8,308.9,1455,41.3,23.0,56.0,Tool Wear Failure,"Technician inspected Engine #78. RPM at 1455, torque at 41.3 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 23.0. Engine has run for 56.0 hours. Signs of tool wear observed. Recommend inspection."
79,L47258,L,298.8,308.9,1398,51.5,45.0,96.0,Tool Wear Failure,"Technician inspected Engine #79. RPM at 1398, torque at 51.5 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 45.0. Engine has run for 96.0 hours. Signs of tool wear observed. Recommend inspection."
80,L47259,L,298.8,308.9,1402,37.9,55.0,55.0,Tool Wear Failure,"Technician inspected Engine #80. RPM at 1402, torque at 37.9 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 55.0. Engine has run for 55.0 hours. Signs of tool wear observed. Recommend inspection."
81,H29494,H,298.8,308.8,1445,49.9,45.0,24.0,No Failure,"Technician inspected Engine #81. RPM at 1445, torque at 49.9 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 45.0. Engine has run for 24.0 hours. No failure detected."
82,L47261,L,298.9,308.9,1450,47.5,34.0,22.0,No Failure,"Technician inspected Engine #82. RPM at 1450, torque at 47.5 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 34.0. Engine has run for 22.0 hours. No failure detected."
83,L47262,L,298.9,308.9,1453,40.8,34.0,15.0,No Failure,"Technician inspected Engine #83. RPM at 1453, torque at 40.8 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 34.0. Engine has run for 15.0 hours. No failure detected."
84,L47263,L,299.0,309.0,1469,40.1,23.0,15.0,No Failure,"Technician inspected Engine #84. RPM at 1469, torque at 40.1 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 23.0. Engine has run for 15.0 hours. No failure detected."
85,L47264,L,298.9,308.9,1422,47.6,42.0,11.0,No Failure,"Technician inspected Engine #85. RPM at 1422, torque at 47.6 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 42.0. Engine has run for 11.0 hours. No failure detected."
86,M14945,M,299.0,309.0,1804,26.8,54.0,10.0,No Failure,"Technician inspected Engine #86. RPM at 1804, torque at 26.8 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 54.0. Engine has run for 10.0 hours. No failure detected."
87,H29500,H,299.0,309.0,1436,43.9,55.0,14.0,No Failure,"Technician inspected Engine #87. RPM at 1436, torque at 43.9 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 55.0. Engine has run for 14.0 hours. No failure detected."
88,L47267,L,299.0,309.0,1544,31.8,54.0,25.0,No Failure,"Technician inspected Engine #88. RPM at 1544, torque at 31.8 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 54.0. Engine has run for 25.0 hours. No failure detected."
89,M14948,M,299.0,309.0,1419,45.2,34.0,22.0,No Failure,"Technician inspected Engine #89. RPM at 1419, torque at 45.2 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 34.0. Engine has run for 22.0 hours. No failure detected."
90,M14949,M,298.9,308.9,1487,39.5,33.0,27.0,No Failure,"Technician inspected Engine #90. RPM at 1487, torque at 39.5 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 33.0. Engine has run for 27.0 hours. No failure detected."
91,L47270,L,298.9,308.9,1753,25.8,23.0,19.0,No Failure,"Technician inspected Engine #91. RPM at 1753, torque at 25.8 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 23.0. Engine has run for 19.0 hours. No failure detected."
92,L47271,L,298.9,308.9,1830,24.9,24.0,20.67,No Failure,"Technician inspected Engine #92. RPM at 1830, torque at 24.9 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 24.0. Engine has run for 20.7 hours. No failure detected."
93,M14952,M,298.9,308.9,1727,27.1,36.0,21.03,No Failure,"Technician inspected Engine #93. RPM at 1727, torque at 27.1 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 36.0. Engine has run for 21.0 hours. No failure detected."
94,L47273,L,299.1,309.0,1450,43.0,34.0,21.38,No Failure,"Technician inspected Engine #94. RPM at 1450, torque at 43.0 Nm. Air temp 299.1K, Process temp 309.0K. Vibration level recorded at 34.0. Engine has run for 21.4 hours. No failure detected."
95,L47274,L,299.0,308.9,1622,31.9,35.0,21.74,No Failure,"Technician inspected Engine #95. RPM at 1622, torque at 31.9 Nm. Air temp 299.0K, Process temp 308.9K. Vibration level recorded at 35.0. Engine has run for 21.7 hours. No failure detected."
96,M14955,M,299.0,309.0,1351,52.2,36.0,22.09,No Failure,"Technician inspected Engine #96. RPM at 1351, torque at 52.2 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 36.0. Engine has run for 22.1 hours. No failure detected."
97,M14956,M,299.0,309.0,1575,35.3,37.0,22.45,No Failure,"Technician inspected Engine #97. RPM at 1575, torque at 35.3 Nm. Air temp 299.0K, Process temp 309.0K. Vibration level recorded at 37.0. Engine has run for 22.4 hours. No failure detected."
98,M14957,M,298.9,308.9,1750,29.9,38.0,22.8,No Failure,"Technician inspected Engine #98. RPM at 1750, torque at 29.9 Nm. Air temp 298.9K, Process temp 308.9K. Vibration level recorded at 38.0. Engine has run for 22.8 hours. No failure detected."
99,L47278,L,298.9,308.8,1529,32.7,39.0,23.15,No Failure,"Technician inspected Engine #99. RPM at 1529, torque at 32.7 Nm. Air temp 298.9K, Process temp 308.8K. Vibration level recorded at 39.0. Engine has run for 23.1 hours. No failure detected."
100,L47279,L,298.8,308.8,1523,44.4,40.0,23.51,No Failure,"Technician inspected Engine #100. RPM at 1523, torque at 44.4 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 40.0. Engine has run for 23.5 hours. No failure detected."
101,L47280,L,298.8,308.9,1852,25.0,42.0,23.86,No Failure,"Technician inspected Engine #101. RPM at 1852, torque at 25.0 Nm. Air temp 298.8K, Process temp 308.9K. Vibration level recorded at 42.0. Engine has run for 23.9 hours. No failure detected."
102,L47281,L,298.8,308.8,1991,20.7,52.0,24.22,No Failure,"Technician inspected Engine #102. RPM at 1991, torque at 20.7 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 52.0. Engine has run for 24.2 hours. No failure detected."
103,L47282,L,298.8,308.8,1555,40.6,44.0,24.57,No Failure,"Technician inspected Engine #103. RPM at 1555, torque at 40.6 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 44.0. Engine has run for 24.6 hours. No failure detected."
104,M14963,M,298.8,308.8,1441,40.5,52.0,24.93,No Failure,"Technician inspected Engine #104. RPM at 1441, torque at 40.5 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 52.0. Engine has run for 24.9 hours. No failure detected."
105,L47284,L,298.8,308.7,1450,43.4,44.0,25.28,No Failure,"Technician inspected Engine #105. RPM at 1450, torque at 43.4 Nm. Air temp 298.8K, Process temp 308.7K. Vibration level recorded at 44.0. Engine has run for 25.3 hours. No failure detected."
106,L47285,L,298.8,308.7,1591,31.1,35.0,25.64,No Failure,"Technician inspected Engine #106. RPM at 1591, torque at 31.1 Nm. Air temp 298.8K, Process temp 308.7K. Vibration level recorded at 35.0. Engine has run for 25.6 hours. No failure detected."
107,L47286,L,298.8,308.7,1445,48.5,36.0,25.99,No Failure,"Technician inspected Engine #107. RPM at 1445, torque at 48.5 Nm. Air temp 298.8K, Process temp 308.7K. Vibration level recorded at 36.0. Engine has run for 26.0 hours. No failure detected."
108,M14967,M,298.8,308.8,1497,46.8,33.0,26.35,No Failure,"Technician inspected Engine #108. RPM at 1497, torque at 46.8 Nm. Air temp 298.8K, Process temp 308.8K. Vibration level recorded at 33.0. Engine has run for 26.4 hours. No failure detected."
109,H29522,H,298.9,308.8,1621,32.7,23.0,26.7,No Failure,"Technician inspected Engine #109. RPM at 1621, torque at 32.7 Nm. Air temp 298.9K, Process temp 308.8K. Vibration level recorded at 23.0. Engine has run for 26.7 hours. No failure detected."
